,business_date,store,the_chat_id,hour,business_date_2,Legend
106,2022-05-18,BLUE SPRINGS 22445,1037,18,2022-04-19,Cumulative Live Stores
107,2022-05-19,BLUE SPRINGS 22445,1026,18,2022-04-19,Cumulative Live Stores
108,2022-05-20,BLUE SPRINGS 22445,1025,17,2022-04-19,Cumulative Live Stores
109,2022-05-21,BLUE SPRINGS 22445,936,18,2022-04-19,Cumulative Live Stores
110,2022-05-22,BLUE SPRINGS 22445,828,18,2022-04-19,Cumulative Live Stores
111,2022-05-23,BLUE SPRINGS 22445,962,18,2022-04-19,Cumulative Live Stores
112,2022-05-24,BLUE SPRINGS 22445,912,18,2022-04-19,Cumulative Live Stores
113,2022-05-25,BLUE SPRINGS 22445,945,18,2022-04-19,Cumulative Live Stores
114,2022-05-26,BLUE SPRINGS 22445,990,18,2022-04-19,Cumulative Live Stores
115,2022-05-27,BLUE SPRINGS 22445,1057,18,2022-04-19,Cumulative Live Stores
116,2022-05-28,BLUE SPRINGS 22445,850,17,2022-04-19,Cumulative Live Stores
117,2022-05-29,BLUE SPRINGS 22445,829,18,2022-04-19,Cumulative Live Stores
118,2022-05-30,BLUE SPRINGS 22445,766,18,2022-04-19,Cumulative Live Stores
119,2022-05-31,BLUE SPRINGS 22445,861,18,2022-04-19,Cumulative Live Stores
120,2022-06-01,BLUE SPRINGS 22445,939,18,2022-04-19,Cumulative Live Stores
121,2022-06-02,BLUE SPRINGS 22445,977,18,2022-04-19,Cumulative Live Stores
122,2022-06-03,BLUE SPRINGS 22445,1025,18,2022-04-19,Cumulative Live Stores
123,2022-06-04,BLUE SPRINGS 22445,922,18,2022-04-19,Cumulative Live Stores
124,2022-06-05,BLUE SPRINGS 22445,819,18,2022-04-19,Cumulative Live Stores
125,2022-06-06,BLUE SPRINGS 22445,936,18,2022-04-19,Cumulative Live Stores
126,2022-06-07,BLUE SPRINGS 22445,993,18,2022-04-19,Cumulative Live Stores
127,2022-06-08,BLUE SPRINGS 22445,1067,18,2022-04-19,Cumulative Live Stores
128,2022-06-09,BLUE SPRINGS 22445,1027,18,2022-04-19,Cumulative Live Stores
129,2022-06-10,BLUE SPRINGS 22445,1028,18,2022-04-19,Cumulative Live Stores
130,2022-06-11,BLUE SPRINGS 22445,935,18,2022-04-19,Cumulative Live Stores
131,2022-06-12,BLUE SPRINGS 22445,856,18,2022-04-19,Cumulative Live Stores
132,2022-06-13,BLUE SPRINGS 22445,943,18,2022-04-19,Cumulative Live Stores
133,2022-06-14,BLUE SPRINGS 22445,1008,18,2022-04-19,Cumulative Live Stores
134,2022-06-15,BLUE SPRINGS 22445,923,18,2022-04-19,Cumulative Live Stores
135,2022-06-16,BLUE SPRINGS 22445,1017,18,2022-04-19,Cumulative Live Stores
136,2022-06-17,BLUE SPRINGS 22445,1043,18,2022-04-19,Cumulative Live Stores
137,2022-06-18,BLUE SPRINGS 22445,936,18,2022-04-19,Cumulative Live Stores
138,2022-06-19,BLUE SPRINGS 22445,754,18,2022-04-19,Cumulative Live Stores
139,2022-06-20,BLUE SPRINGS 22445,919,18,2022-04-19,Cumulative Live Stores
140,2022-06-21,BLUE SPRINGS 22445,966,18,2022-04-19,Cumulative Live Stores
141,2022-06-22,BLUE SPRINGS 22445,1011,19,2022-04-19,Cumulative Live Stores
142,2022-06-23,BLUE SPRINGS 22445,962,18,2022-04-19,Cumulative Live Stores
143,2022-06-24,BLUE SPRINGS 22445,1003,18,2022-04-19,Cumulative Live Stores
144,2022-06-25,BLUE SPRINGS 22445,884,18,2022-04-19,Cumulative Live Stores
145,2022-06-26,BLUE SPRINGS 22445,836,18,2022-04-19,Cumulative Live Stores
146,2022-06-27,BLUE SPRINGS 22445,961,18,2022-04-19,Cumulative Live Stores
147,2022-06-28,BLUE SPRINGS 22445,926,18,2022-04-19,Cumulative Live Stores
253,2022-05-17,BLUE SPRINGS 6064,977,18,2022-05-17,Cumulative Live Stores
254,2022-05-18,BLUE SPRINGS 6064,964,19,2022-05-17,Cumulative Live Stores
255,2022-05-19,BLUE SPRINGS 6064,999,19,2022-05-17,Cumulative Live Stores
256,2022-05-20,BLUE SPRINGS 6064,1017,18,2022-05-17,Cumulative Live Stores
257,2022-05-21,BLUE SPRINGS 6064,858,18,2022-05-17,Cumulative Live Stores
258,2022-05-22,BLUE SPRINGS 6064,769,19,2022-05-17,Cumulative Live Stores
259,2022-05-23,BLUE SPRINGS 6064,960,18,2022-05-17,Cumulative Live Stores
260,2022-05-24,BLUE SPRINGS 6064,143,5,2022-05-17,Cumulative Live Stores
261,2022-05-25,BLUE SPRINGS 6064,908,18,2022-05-17,Cumulative Live Stores
262,2022-05-26,BLUE SPRINGS 6064,975,18,2022-05-17,Cumulative Live Stores
263,2022-05-27,BLUE SPRINGS 6064,1002,18,2022-05-17,Cumulative Live Stores
264,2022-05-28,BLUE SPRINGS 6064,864,18,2022-05-17,Cumulative Live Stores
265,2022-05-29,BLUE SPRINGS 6064,724,19,2022-05-17,Cumulative Live Stores
266,2022-05-30,BLUE SPRINGS 6064,754,18,2022-05-17,Cumulative Live Stores
267,2022-05-31,BLUE SPRINGS 6064,872,18,2022-05-17,Cumulative Live Stores
268,2022-06-01,BLUE SPRINGS 6064,975,18,2022-05-17,Cumulative Live Stores
269,2022-06-02,BLUE SPRINGS 6064,1007,18,2022-05-17,Cumulative Live Stores
270,2022-06-03,BLUE SPRINGS 6064,994,19,2022-05-17,Cumulative Live Stores
271,2022-06-04,BLUE SPRINGS 6064,845,19,2022-05-17,Cumulative Live Stores
272,2022-06-05,BLUE SPRINGS 6064,800,18,2022-05-17,Cumulative Live Stores
273,2022-06-06,BLUE SPRINGS 6064,946,18,2022-05-17,Cumulative Live Stores
274,2022-06-07,BLUE SPRINGS 6064,969,18,2022-05-17,Cumulative Live Stores
275,2022-06-08,BLUE SPRINGS 6064,969,18,2022-05-17,Cumulative Live Stores
276,2022-06-09,BLUE SPRINGS 6064,973,18,2022-05-17,Cumulative Live Stores
277,2022-06-10,BLUE SPRINGS 6064,993,19,2022-05-17,Cumulative Live Stores
278,2022-06-11,BLUE SPRINGS 6064,17,2,2022-05-17,Cumulative Live Stores
279,2022-06-12,BLUE SPRINGS 6064,7,1,2022-05-17,Cumulative Live Stores
280,2022-06-13,BLUE SPRINGS 6064,4,1,2022-05-17,Cumulative Live Stores
281,2022-06-14,BLUE SPRINGS 6064,3,1,2022-05-17,Cumulative Live Stores
282,2022-06-15,BLUE SPRINGS 6064,0,0,2022-05-17,Cumulative Live Stores
283,2022-06-16,BLUE SPRINGS 6064,0,0,2022-05-17,Cumulative Live Stores
284,2022-06-17,BLUE SPRINGS 6064,399,9,2022-05-17,Cumulative Live Stores
285,2022-06-18,BLUE SPRINGS 6064,874,19,2022-05-17,Cumulative Live Stores
286,2022-06-19,BLUE SPRINGS 6064,652,18,2022-05-17,Cumulative Live Stores
287,2022-06-20,BLUE SPRINGS 6064,911,18,2022-05-17,Cumulative Live Stores
288,2022-06-21,BLUE SPRINGS 6064,980,18,2022-05-17,Cumulative Live Stores
289,2022-06-22,BLUE SPRINGS 6064,977,19,2022-05-17,Cumulative Live Stores
290,2022-06-23,BLUE SPRINGS 6064,984,18,2022-05-17,Cumulative Live Stores
291,2022-06-24,BLUE SPRINGS 6064,961,18,2022-05-17,Cumulative Live Stores
292,2022-06-25,BLUE SPRINGS 6064,830,18,2022-05-17,Cumulative Live Stores
293,2022-06-26,BLUE SPRINGS 6064,775,18,2022-05-17,Cumulative Live Stores
294,2022-06-27,BLUE SPRINGS 6064,896,18,2022-05-17,Cumulative Live Stores
295,2022-06-28,BLUE SPRINGS 6064,872,18,2022-05-17,Cumulative Live Stores
394,2022-05-10,CLARINDA 11278,768,17,2022-05-10,Cumulative Live Stores
395,2022-05-11,CLARINDA 11278,874,19,2022-05-10,Cumulative Live Stores
396,2022-05-12,CLARINDA 11278,887,17,2022-05-10,Cumulative Live Stores
397,2022-05-13,CLARINDA 11278,969,19,2022-05-10,Cumulative Live Stores
398,2022-05-14,CLARINDA 11278,771,19,2022-05-10,Cumulative Live Stores
399,2022-05-15,CLARINDA 11278,660,19,2022-05-10,Cumulative Live Stores
400,2022-05-16,CLARINDA 11278,845,19,2022-05-10,Cumulative Live Stores
401,2022-05-17,CLARINDA 11278,787,19,2022-05-10,Cumulative Live Stores
402,2022-05-18,CLARINDA 11278,834,19,2022-05-10,Cumulative Live Stores
403,2022-05-19,CLARINDA 11278,847,19,2022-05-10,Cumulative Live Stores
404,2022-05-20,CLARINDA 11278,862,19,2022-05-10,Cumulative Live Stores
405,2022-05-21,CLARINDA 11278,706,19,2022-05-10,Cumulative Live Stores
406,2022-05-22,CLARINDA 11278,526,14,2022-05-10,Cumulative Live Stores
407,2022-05-23,CLARINDA 11278,609,15,2022-05-10,Cumulative Live Stores
408,2022-05-24,CLARINDA 11278,788,19,2022-05-10,Cumulative Live Stores
409,2022-05-25,CLARINDA 11278,783,19,2022-05-10,Cumulative Live Stores
410,2022-05-26,CLARINDA 11278,93,3,2022-05-10,Cumulative Live Stores
411,2022-05-27,CLARINDA 11278,869,19,2022-05-10,Cumulative Live Stores
412,2022-05-28,CLARINDA 11278,706,19,2022-05-10,Cumulative Live Stores
413,2022-05-29,CLARINDA 11278,647,19,2022-05-10,Cumulative Live Stores
414,2022-05-30,CLARINDA 11278,626,19,2022-05-10,Cumulative Live Stores
415,2022-05-31,CLARINDA 11278,789,19,2022-05-10,Cumulative Live Stores
416,2022-06-01,CLARINDA 11278,841,19,2022-05-10,Cumulative Live Stores
417,2022-06-02,CLARINDA 11278,858,20,2022-05-10,Cumulative Live Stores
418,2022-06-03,CLARINDA 11278,866,19,2022-05-10,Cumulative Live Stores
419,2022-06-04,CLARINDA 11278,719,19,2022-05-10,Cumulative Live Stores
420,2022-06-05,CLARINDA 11278,573,19,2022-05-10,Cumulative Live Stores
421,2022-06-06,CLARINDA 11278,811,19,2022-05-10,Cumulative Live Stores
422,2022-06-07,CLARINDA 11278,693,18,2022-05-10,Cumulative Live Stores
423,2022-06-08,CLARINDA 11278,848,20,2022-05-10,Cumulative Live Stores
424,2022-06-09,CLARINDA 11278,831,19,2022-05-10,Cumulative Live Stores
425,2022-06-10,CLARINDA 11278,869,19,2022-05-10,Cumulative Live Stores
426,2022-06-11,CLARINDA 11278,710,19,2022-05-10,Cumulative Live Stores
427,2022-06-12,CLARINDA 11278,601,19,2022-05-10,Cumulative Live Stores
428,2022-06-13,CLARINDA 11278,756,19,2022-05-10,Cumulative Live Stores
429,2022-06-14,CLARINDA 11278,816,19,2022-05-10,Cumulative Live Stores
430,2022-06-15,CLARINDA 11278,837,19,2022-05-10,Cumulative Live Stores
431,2022-06-16,CLARINDA 11278,879,19,2022-05-10,Cumulative Live Stores
432,2022-06-17,CLARINDA 11278,894,19,2022-05-10,Cumulative Live Stores
433,2022-06-18,CLARINDA 11278,778,19,2022-05-10,Cumulative Live Stores
434,2022-06-19,CLARINDA 11278,600,19,2022-05-10,Cumulative Live Stores
435,2022-06-20,CLARINDA 11278,777,20,2022-05-10,Cumulative Live Stores
436,2022-06-21,CLARINDA 11278,796,19,2022-05-10,Cumulative Live Stores
437,2022-06-22,CLARINDA 11278,812,19,2022-05-10,Cumulative Live Stores
438,2022-06-23,CLARINDA 11278,807,19,2022-05-10,Cumulative Live Stores
439,2022-06-24,CLARINDA 11278,811,19,2022-05-10,Cumulative Live Stores
440,2022-06-25,CLARINDA 11278,723,20,2022-05-10,Cumulative Live Stores
441,2022-06-26,CLARINDA 11278,654,19,2022-05-10,Cumulative Live Stores
442,2022-06-27,CLARINDA 11278,779,19,2022-05-10,Cumulative Live Stores
443,2022-06-28,CLARINDA 11278,836,19,2022-05-10,Cumulative Live Stores
534,2022-05-02,COUNCIL BLUFFS 11004,492,12,2022-05-02,Cumulative Live Stores
535,2022-05-03,COUNCIL BLUFFS 11004,801,17,2022-05-02,Cumulative Live Stores
536,2022-05-04,COUNCIL BLUFFS 11004,654,15,2022-05-02,Cumulative Live Stores
537,2022-05-05,COUNCIL BLUFFS 11004,856,17,2022-05-02,Cumulative Live Stores
538,2022-05-06,COUNCIL BLUFFS 11004,639,17,2022-05-02,Cumulative Live Stores
539,2022-05-07,COUNCIL BLUFFS 11004,726,17,2022-05-02,Cumulative Live Stores
540,2022-05-08,COUNCIL BLUFFS 11004,561,17,2022-05-02,Cumulative Live Stores
541,2022-05-09,COUNCIL BLUFFS 11004,828,17,2022-05-02,Cumulative Live Stores
542,2022-05-10,COUNCIL BLUFFS 11004,813,17,2022-05-02,Cumulative Live Stores
543,2022-05-11,COUNCIL BLUFFS 11004,804,18,2022-05-02,Cumulative Live Stores
544,2022-05-12,COUNCIL BLUFFS 11004,820,18,2022-05-02,Cumulative Live Stores
545,2022-05-13,COUNCIL BLUFFS 11004,874,18,2022-05-02,Cumulative Live Stores
546,2022-05-14,COUNCIL BLUFFS 11004,678,17,2022-05-02,Cumulative Live Stores
547,2022-05-15,COUNCIL BLUFFS 11004,661,17,2022-05-02,Cumulative Live Stores
548,2022-05-16,COUNCIL BLUFFS 11004,848,18,2022-05-02,Cumulative Live Stores
549,2022-05-17,COUNCIL BLUFFS 11004,800,17,2022-05-02,Cumulative Live Stores
550,2022-05-18,COUNCIL BLUFFS 11004,821,18,2022-05-02,Cumulative Live Stores
551,2022-05-19,COUNCIL BLUFFS 11004,675,16,2022-05-02,Cumulative Live Stores
552,2022-05-20,COUNCIL BLUFFS 11004,821,17,2022-05-02,Cumulative Live Stores
553,2022-05-21,COUNCIL BLUFFS 11004,705,17,2022-05-02,Cumulative Live Stores
554,2022-05-22,COUNCIL BLUFFS 11004,638,17,2022-05-02,Cumulative Live Stores
555,2022-05-23,COUNCIL BLUFFS 11004,789,18,2022-05-02,Cumulative Live Stores
556,2022-05-24,COUNCIL BLUFFS 11004,761,18,2022-05-02,Cumulative Live Stores
557,2022-05-25,COUNCIL BLUFFS 11004,740,18,2022-05-02,Cumulative Live Stores
558,2022-05-26,COUNCIL BLUFFS 11004,801,17,2022-05-02,Cumulative Live Stores
559,2022-05-27,COUNCIL BLUFFS 11004,508,12,2022-05-02,Cumulative Live Stores
560,2022-05-28,COUNCIL BLUFFS 11004,614,17,2022-05-02,Cumulative Live Stores
561,2022-05-29,COUNCIL BLUFFS 11004,633,17,2022-05-02,Cumulative Live Stores
562,2022-05-30,COUNCIL BLUFFS 11004,635,17,2022-05-02,Cumulative Live Stores
563,2022-05-31,COUNCIL BLUFFS 11004,773,17,2022-05-02,Cumulative Live Stores
564,2022-06-01,COUNCIL BLUFFS 11004,782,17,2022-05-02,Cumulative Live Stores
565,2022-06-02,COUNCIL BLUFFS 11004,822,17,2022-05-02,Cumulative Live Stores
566,2022-06-03,COUNCIL BLUFFS 11004,795,17,2022-05-02,Cumulative Live Stores
567,2022-06-04,COUNCIL BLUFFS 11004,682,17,2022-05-02,Cumulative Live Stores
568,2022-06-05,COUNCIL BLUFFS 11004,647,17,2022-05-02,Cumulative Live Stores
569,2022-06-06,COUNCIL BLUFFS 11004,762,17,2022-05-02,Cumulative Live Stores
570,2022-06-07,COUNCIL BLUFFS 11004,728,17,2022-05-02,Cumulative Live Stores
571,2022-06-08,COUNCIL BLUFFS 11004,770,17,2022-05-02,Cumulative Live Stores
572,2022-06-09,COUNCIL BLUFFS 11004,726,17,2022-05-02,Cumulative Live Stores
573,2022-06-10,COUNCIL BLUFFS 11004,775,17,2022-05-02,Cumulative Live Stores
574,2022-06-11,COUNCIL BLUFFS 11004,614,17,2022-05-02,Cumulative Live Stores
575,2022-06-12,COUNCIL BLUFFS 11004,501,13,2022-05-02,Cumulative Live Stores
576,2022-06-13,COUNCIL BLUFFS 11004,718,17,2022-05-02,Cumulative Live Stores
577,2022-06-14,COUNCIL BLUFFS 11004,736,17,2022-05-02,Cumulative Live Stores
578,2022-06-15,COUNCIL BLUFFS 11004,787,18,2022-05-02,Cumulative Live Stores
579,2022-06-16,COUNCIL BLUFFS 11004,756,18,2022-05-02,Cumulative Live Stores
580,2022-06-17,COUNCIL BLUFFS 11004,855,17,2022-05-02,Cumulative Live Stores
581,2022-06-18,COUNCIL BLUFFS 11004,639,17,2022-05-02,Cumulative Live Stores
582,2022-06-19,COUNCIL BLUFFS 11004,589,17,2022-05-02,Cumulative Live Stores
583,2022-06-20,COUNCIL BLUFFS 11004,738,17,2022-05-02,Cumulative Live Stores
584,2022-06-21,COUNCIL BLUFFS 11004,800,17,2022-05-02,Cumulative Live Stores
585,2022-06-22,COUNCIL BLUFFS 11004,816,17,2022-05-02,Cumulative Live Stores
586,2022-06-23,COUNCIL BLUFFS 11004,781,18,2022-05-02,Cumulative Live Stores
587,2022-06-24,COUNCIL BLUFFS 11004,642,15,2022-05-02,Cumulative Live Stores
588,2022-06-25,COUNCIL BLUFFS 11004,682,17,2022-05-02,Cumulative Live Stores
589,2022-06-26,COUNCIL BLUFFS 11004,614,17,2022-05-02,Cumulative Live Stores
590,2022-06-27,COUNCIL BLUFFS 11004,766,17,2022-05-02,Cumulative Live Stores
591,2022-06-28,COUNCIL BLUFFS 11004,744,18,2022-05-02,Cumulative Live Stores
669,2022-04-19,COUNCIL BLUFFS 11458,1098,17,2022-04-19,Cumulative Live Stores
670,2022-04-20,COUNCIL BLUFFS 11458,1251,19,2022-04-19,Cumulative Live Stores
671,2022-04-21,COUNCIL BLUFFS 11458,1227,19,2022-04-19,Cumulative Live Stores
672,2022-04-22,COUNCIL BLUFFS 11458,1444,21,2022-04-19,Cumulative Live Stores
673,2022-04-23,COUNCIL BLUFFS 11458,1301,21,2022-04-19,Cumulative Live Stores
674,2022-04-24,COUNCIL BLUFFS 11458,1145,19,2022-04-19,Cumulative Live Stores
675,2022-04-25,COUNCIL BLUFFS 11458,1239,19,2022-04-19,Cumulative Live Stores
676,2022-04-26,COUNCIL BLUFFS 11458,1258,19,2022-04-19,Cumulative Live Stores
677,2022-04-27,COUNCIL BLUFFS 11458,1133,17,2022-04-19,Cumulative Live Stores
678,2022-04-28,COUNCIL BLUFFS 11458,1273,19,2022-04-19,Cumulative Live Stores
679,2022-04-29,COUNCIL BLUFFS 11458,1417,21,2022-04-19,Cumulative Live Stores
680,2022-04-30,COUNCIL BLUFFS 11458,1311,21,2022-04-19,Cumulative Live Stores
681,2022-05-01,COUNCIL BLUFFS 11458,1128,19,2022-04-19,Cumulative Live Stores
682,2022-05-02,COUNCIL BLUFFS 11458,1185,19,2022-04-19,Cumulative Live Stores
683,2022-05-03,COUNCIL BLUFFS 11458,1299,19,2022-04-19,Cumulative Live Stores
684,2022-05-04,COUNCIL BLUFFS 11458,876,16,2022-04-19,Cumulative Live Stores
685,2022-05-05,COUNCIL BLUFFS 11458,736,18,2022-04-19,Cumulative Live Stores
686,2022-05-06,COUNCIL BLUFFS 11458,897,21,2022-04-19,Cumulative Live Stores
687,2022-05-07,COUNCIL BLUFFS 11458,1295,21,2022-04-19,Cumulative Live Stores
688,2022-05-08,COUNCIL BLUFFS 11458,996,19,2022-04-19,Cumulative Live Stores
689,2022-05-09,COUNCIL BLUFFS 11458,1215,19,2022-04-19,Cumulative Live Stores
690,2022-05-10,COUNCIL BLUFFS 11458,1192,19,2022-04-19,Cumulative Live Stores
691,2022-05-11,COUNCIL BLUFFS 11458,786,19,2022-04-19,Cumulative Live Stores
692,2022-05-12,COUNCIL BLUFFS 11458,744,18,2022-04-19,Cumulative Live Stores
693,2022-05-13,COUNCIL BLUFFS 11458,328,7,2022-04-19,Cumulative Live Stores
694,2022-05-14,COUNCIL BLUFFS 11458,0,0,2022-04-19,Cumulative Live Stores
695,2022-05-15,COUNCIL BLUFFS 11458,0,0,2022-04-19,Cumulative Live Stores
696,2022-05-16,COUNCIL BLUFFS 11458,0,0,2022-04-19,Cumulative Live Stores
697,2022-05-17,COUNCIL BLUFFS 11458,0,0,2022-04-19,Cumulative Live Stores
698,2022-05-18,COUNCIL BLUFFS 11458,719,12,2022-04-19,Cumulative Live Stores
699,2022-05-19,COUNCIL BLUFFS 11458,999,15,2022-04-19,Cumulative Live Stores
700,2022-05-20,COUNCIL BLUFFS 11458,1481,21,2022-04-19,Cumulative Live Stores
701,2022-05-21,COUNCIL BLUFFS 11458,1016,20,2022-04-19,Cumulative Live Stores
702,2022-05-22,COUNCIL BLUFFS 11458,1078,19,2022-04-19,Cumulative Live Stores
703,2022-05-23,COUNCIL BLUFFS 11458,1252,19,2022-04-19,Cumulative Live Stores
704,2022-05-24,COUNCIL BLUFFS 11458,1201,19,2022-04-19,Cumulative Live Stores
705,2022-05-25,COUNCIL BLUFFS 11458,1188,19,2022-04-19,Cumulative Live Stores
706,2022-05-26,COUNCIL BLUFFS 11458,952,14,2022-04-19,Cumulative Live Stores
707,2022-05-27,COUNCIL BLUFFS 11458,1369,22,2022-04-19,Cumulative Live Stores
708,2022-05-28,COUNCIL BLUFFS 11458,1224,21,2022-04-19,Cumulative Live Stores
709,2022-05-29,COUNCIL BLUFFS 11458,945,18,2022-04-19,Cumulative Live Stores
710,2022-05-30,COUNCIL BLUFFS 11458,1036,18,2022-04-19,Cumulative Live Stores
711,2022-05-31,COUNCIL BLUFFS 11458,915,15,2022-04-19,Cumulative Live Stores
712,2022-06-01,COUNCIL BLUFFS 11458,600,11,2022-04-19,Cumulative Live Stores
713,2022-06-02,COUNCIL BLUFFS 11458,1241,19,2022-04-19,Cumulative Live Stores
714,2022-06-03,COUNCIL BLUFFS 11458,1345,19,2022-04-19,Cumulative Live Stores
715,2022-06-04,COUNCIL BLUFFS 11458,1210,21,2022-04-19,Cumulative Live Stores
716,2022-06-05,COUNCIL BLUFFS 11458,1105,19,2022-04-19,Cumulative Live Stores
717,2022-06-06,COUNCIL BLUFFS 11458,1203,19,2022-04-19,Cumulative Live Stores
718,2022-06-07,COUNCIL BLUFFS 11458,1186,19,2022-04-19,Cumulative Live Stores
719,2022-06-08,COUNCIL BLUFFS 11458,1272,19,2022-04-19,Cumulative Live Stores
720,2022-06-09,COUNCIL BLUFFS 11458,1171,19,2022-04-19,Cumulative Live Stores
721,2022-06-10,COUNCIL BLUFFS 11458,1440,21,2022-04-19,Cumulative Live Stores
722,2022-06-11,COUNCIL BLUFFS 11458,1216,21,2022-04-19,Cumulative Live Stores
723,2022-06-12,COUNCIL BLUFFS 11458,1011,18,2022-04-19,Cumulative Live Stores
724,2022-06-13,COUNCIL BLUFFS 11458,1112,20,2022-04-19,Cumulative Live Stores
725,2022-06-14,COUNCIL BLUFFS 11458,1196,19,2022-04-19,Cumulative Live Stores
726,2022-06-15,COUNCIL BLUFFS 11458,1286,19,2022-04-19,Cumulative Live Stores
727,2022-06-16,COUNCIL BLUFFS 11458,1173,19,2022-04-19,Cumulative Live Stores
728,2022-06-17,COUNCIL BLUFFS 11458,1388,21,2022-04-19,Cumulative Live Stores
729,2022-06-18,COUNCIL BLUFFS 11458,940,19,2022-04-19,Cumulative Live Stores
730,2022-06-19,COUNCIL BLUFFS 11458,1045,19,2022-04-19,Cumulative Live Stores
731,2022-06-20,COUNCIL BLUFFS 11458,1151,19,2022-04-19,Cumulative Live Stores
732,2022-06-21,COUNCIL BLUFFS 11458,1157,17,2022-04-19,Cumulative Live Stores
733,2022-06-22,COUNCIL BLUFFS 11458,1181,18,2022-04-19,Cumulative Live Stores
734,2022-06-23,COUNCIL BLUFFS 11458,1215,19,2022-04-19,Cumulative Live Stores
735,2022-06-24,COUNCIL BLUFFS 11458,1393,21,2022-04-19,Cumulative Live Stores
736,2022-06-25,COUNCIL BLUFFS 11458,893,16,2022-04-19,Cumulative Live Stores
737,2022-06-26,COUNCIL BLUFFS 11458,1100,19,2022-04-19,Cumulative Live Stores
738,2022-06-27,COUNCIL BLUFFS 11458,1211,19,2022-04-19,Cumulative Live Stores
739,2022-06-28,COUNCIL BLUFFS 11458,1108,19,2022-04-19,Cumulative Live Stores
838,2022-05-10,COUNCIL BLUFFS 24291,529,14,2022-05-10,Cumulative Live Stores
839,2022-05-11,COUNCIL BLUFFS 24291,776,18,2022-05-10,Cumulative Live Stores
840,2022-05-12,COUNCIL BLUFFS 24291,797,18,2022-05-10,Cumulative Live Stores
841,2022-05-13,COUNCIL BLUFFS 24291,864,19,2022-05-10,Cumulative Live Stores
842,2022-05-14,COUNCIL BLUFFS 24291,764,21,2022-05-10,Cumulative Live Stores
843,2022-05-15,COUNCIL BLUFFS 24291,681,18,2022-05-10,Cumulative Live Stores
844,2022-05-16,COUNCIL BLUFFS 24291,824,18,2022-05-10,Cumulative Live Stores
845,2022-05-17,COUNCIL BLUFFS 24291,796,18,2022-05-10,Cumulative Live Stores
846,2022-05-18,COUNCIL BLUFFS 24291,791,19,2022-05-10,Cumulative Live Stores
847,2022-05-19,COUNCIL BLUFFS 24291,792,18,2022-05-10,Cumulative Live Stores
848,2022-05-20,COUNCIL BLUFFS 24291,830,19,2022-05-10,Cumulative Live Stores
849,2022-05-21,COUNCIL BLUFFS 24291,535,13,2022-05-10,Cumulative Live Stores
850,2022-05-22,COUNCIL BLUFFS 24291,735,17,2022-05-10,Cumulative Live Stores
